url_region,count
Oman,48761
Germany,10967
Netherlands,6119
None,5688
Brazil,5672
Ethiopia,4942
Italy,4345
United Kingdom,3887
Australia,3442
Russia,3164
Japan,3028
Poland,2063
France,1792
European Union,1635
Greece,1618
Spain,1328
Switzerland,1188
Faroe Islands,1097
Czech Republic,1093
Romania,1068
Austria,1050
Denmark,907
Hungary,874
China,820
Ukraine,760
Sweden,734
Argentina,717
Belgium,644
Chile,637
Mexico,634
South Africa,611
Slovakia,597
Colombia,583
Lithuania,530
Canada,481
Turkey,476
India,444
Portugal,348
Vietnam,342
Iran,341
Ireland,296
Slovenia,291
Estonia,241
United States,232
Thailand,197
Serbia,195
Kazakhstan,187
Indonesia,185
Finland,179
Norway,176
Cocos Islands,165
Libya,132
Luxembourg,128
New Zealand,124
British Indian Ocean Territory,118
Philippines,112
Malaysia,112
Montenegro,109
Tokelau,96
Israel,87
Azerbaijan,85
Hong Kong,77
Republic of Korea (South Korea),76
Niue,76
Peru,75
Cyprus,62
Bosnia and Herzegovina,61
Gabon,60
Pakistan,53
Singapore,50
Mali,48
Qatar,46
São Tomé and Príncipe,43
Niger,41
Kenya,41
Central African Republic,38
Belarus,37
Iceland,34
Montserrat,32
Moldova,31
Equatorial Guinea,30
Bulgaria,27
Burundi,26
Isle of Man,25
Venezuela,25
Grenada,24
Tonga,24
Tuvalu,24
Dominican Republic,23
Uganda,22
Cuba,21
United Arab Emirates,20
Samoa,19
Armenia,19
Taiwan,19
Saudi Arabia,19
Nigeria,19
Georgia,18
Latvia,17
Zimbabwe,13
Nepal,13
Laos,11
Tanzania,10
Morocco,10
Greenland,9
Réunion,9
El Salvador,9
Liechtenstein,9
Mongolia,9
Albania,8
Paraguay,8
Eritrea,8
Mauritius,8
Saint Helena,8
Christmas Island,8
South Sudan,7
Lesotho,7
Sri Lanka,7
North Macedonia,7
British Virgin Islands,6
Afghanistan,6
Somalia,6
Palestinian Territory,6
Gambia,6
Ascension Island,6
Andorra,5
Anguilla,5
Saint Pierre and Miquelon,5
Cape Verde,4
Guatemala,4
Bangladesh,4
Chad,4
Puerto Rico,4
Croatia,4
Ecuador,4
Belize,3
Northern Mariana Islands,3
Timor-Leste,3
Bhutan,3
Zambia,3
Tajikistan,3
Uzbekistan,3
Cambodia,3
Egypt,2
Guernsey,2
South Georgia and the South Sandwich Islands,2
Palau,2
French Southern Territories,2
Angola,2
Pitcairn,2
San Marino,2
American Samoa,2
Guyana,2
Netherlands Antilles,2
Heard Island and McDonald Islands,2
Rwanda,2
Vanuatu,2
Uruguay,2
Senegal,2
Antigua and Barbuda,1
Kyrgyzstan,1
Wallis and Futuna,1
Saint Lucia,1
Burkina Faso,1
Tunisia,1
Côte d'Ivoire,1
Norfolk Island,1
Federated States of Micronesia,1
Ghana,1
Cameroon,1
Cook Islands,1
Nauru,1
Costa Rica,1
Bolivia,1
Haiti,1
